Word list: Thinking & Epistemology,,,
epistemology,noun,the theory of knowledge — how we know what we know,
heuristic,adjective,enabling self-discovery or problem-solving by practical methods rather than theory,
inductive,adjective,reasoning from particular facts to a general conclusion,
deductive,adjective,reasoning from general premises to a specific conclusion,
abductive,adjective,forming a conclusion from the best available evidence (inference to the best explanation),
inference,noun,a conclusion reached from evidence and reasoning rather than from explicit statements,
premise,noun,a previous statement from which another is inferred or follows as a conclusion,
corollary,noun,a proposition that follows naturally from one already proven,
axiom,noun,a statement regarded as self-evidently true,
falsifiable,adjective,able to be proved false by evidence or experiment,
rationality,noun,the quality of being based on or in accordance with reason or logic,
metacognition,noun,awareness and understanding of one's own thought processes,
paradigm,noun,a typical example or pattern of something — a model or framework,
emergence,noun,the complex patterns and behaviors that arise from simpler interactions,
qualia,noun,individual instances of subjective conscious experience,

Word list: Psychology,,,
rumination,noun,obsessive thinking about a particular topic or feeling,
affect,noun,the experience of feeling or emotion,
salience,noun,the quality of being particularly noticeable or important,
resilience,noun,the capacity to recover quickly from difficulties,
agency,noun,the capacity of individuals to act independently and make free choices,
hedonic,adjective,relating to or characterized by pleasure,
cognitive dissonance,noun,mental discomfort from holding contradictory beliefs,
neuroticism,noun,a personality trait characterized by anxiety and moodiness,
conscientiousness,noun,a personality trait of being careful and diligent,
anhedonia,noun,inability to feel pleasure from normally pleasurable acts,
catastrophizing,noun,a cognitive distortion of assuming the worst possible outcome,
locus of control,noun,belief about how much control one has over life events,
self-efficacy,noun,belief in one's ability to succeed in specific situations,
overton window,noun,the range of policies acceptable to the mainstream population at a given time,
Dunning-Kruger effect,noun,where people with low ability at a task overestimate their ability,

Word list: AI & Technology,,,
alignment,noun,ensuring AI systems act in accordance with human values and intentions,
capability,noun,an AI system's ability to perform specific tasks or achieve goals,
benchmark,noun,a standard against which things are compared or measured,
inference,noun,the process of running a trained model to generate outputs,
fine-tuning,noun,adapting a pre-trained model to a specific task or domain,
tokenizer,noun,a component that breaks text into smaller units for processing,
hallucination,noun,when an AI generates plausible-sounding but false or fabricated information,
embedding,noun,a numerical representation of data in a continuous vector space,
multimodal,adjective,relating to or involving multiple types of input (text, image, audio),
distillation,noun,transferring knowledge from a large model to a smaller one,
retrieval,noun,fetching relevant information from a database or corpus to augment generation,
quantization,noun,reducing the precision of model weights to decrease size and increase speed,
sparsity,noun,technique where only a fraction of model parameters are active,
interpretability,noun,how easily humans can understand how a model makes decisions,
chain-of-thought,noun,a prompting technique where models reason step by step,
few-shot learning,noun,learning from a small number of examples provided in the prompt,
retrieval-augmented generation,noun,combining retrieval from external sources with language generation,
transformer,noun,the neural network architecture behind modern large language models,
attention mechanism,noun,a technique allowing models to focus on relevant parts of input,
context window,noun,the maximum amount of text a model can process at once,

Word list: Economics & Business,,,
arbitrage,noun,taking advantage of price differences in different markets,
liquidity,noun,the ease with which an asset can be converted into cash,
leverage,noun,using borrowed capital to increase potential returns,
externality,noun,a cost or benefit affecting a third party who did not choose it,
marginal,adjective,relating to the additional or incremental effect of something,
elasticity,noun,measuring how much one variable changes in response to another,
opportunity cost,noun,the loss of potential gain from other alternatives when one is chosen,
rent-seeking,noun,manipulating public policy to increase profits without creating wealth,
deadweight loss,noun,a loss of economic efficiency when equilibrium is not achieved,
market failure,noun,a situation where the allocation of goods and services is not efficient,
asymmetric information,noun,a situation where one party has more or better information,
principal-agent problem,noun,a conflict of interest between a principal and their agent,
moral hazard,noun,risk-taking when someone else bears the cost of those risks,
network effect,noun,a product becomes more valuable as more people use it,
winner-take-all,adjective,a market where a small number of providers capture most of the value,

Word list: Writing & Rhetoric,,,
ostensibly,adverb,apparently or purportedly, but not necessarily actually,
albeit,conjunction,although; even though,
consequently,adverb,as a result; therefore,
nevertheless,adverb,despite that; in spite of that,
conversely,adverb,introducing a statement that contrasts with a previous one,
furthermore,adverb,in addition; moreover,
thereby,adverb,by that means; as a result of that,
notwithstanding,preposition,in spite of; despite,
moreover,adverb,besides; in addition,
inherently,adverb,in a permanent and essential way; naturally,
implicitly,adverb,implied though not directly expressed,
explicitly,adverb,in a clear and direct way,
rhetoric,noun,the art of effective or persuasive speaking or writing,
juxtaposition,noun,placing two things close together for contrasting effect,
anaphora,noun,repetition of a word or phrase at the beginning of successive clauses,
chiasmus,noun,a rhetorical inversion of two parallel clauses,
antithesis,noun,a person or thing that is the direct opposite of someone or something else,
synecdoche,noun,a figure of speech where a part represents the whole,
understatement,noun,deliberately representing something as less than it is,
litotes,noun,an understatement using double negatives to express a positive,

Word list: Philosophy,,,
existentialism,noun,a philosophy emphasizing individual existence, freedom, and choice,
phenomenology,noun,the study of structures of consciousness from the first-person perspective,
nihilism,noun,the rejection of all religious and moral principles — life is meaningless,
stoicism,noun,a philosophy of enduring hardship without complaint and focusing on what you control,
determinism,noun,the doctrine that all events are determined by previously existing causes,
compatibilism,noun,the view that free will and determinism are compatible,
dualism,noun,the division of something into two opposing parts — especially mind and body,
materialism,noun,the belief that only matter exists — everything is physical,
reductionism,noun,explaining complex things by breaking them down to simpler components,
teleology,noun,explained in terms of purpose or design rather than cause,
utilitarianism,noun,ethics maximizing overall happiness or well-being,
deontology,noun,ethics based on duty and rules rather than consequences,
virtue ethics,noun,ethics emphasizing moral character over rules or consequences,
categorical imperative,noun,Kant's principle of acting only according to rules you'd want universal,
veil of ignorance,noun,Rawls' thought experiment for designing fair societies,

Word list: Everyday Advanced English,,,
serendipity,noun,occurrence of events by chance in a happy or beneficial way,
zeitgeist,noun,the defining spirit or mood of a particular period,
liminal,adjective,relating to a transitional or initial stage of a process,
gestalt,noun,an organized whole perceived as more than the sum of its parts,
affordance,noun,a possibility for action provided by an object or environment,
cadence,noun,a modulation or inflection of the voice — a rhythm,
inertia,noun,resistance to change in motion or activity,
asymmetry,noun,an absence of equality or balance between two halves,
convergence,noun,coming together from different directions to meet at a point,
divergence,noun,separating from a single point and going in different directions,
trade-off,noun,a balance between desirable features that can't all be had at once,
bandwidth,noun,the capacity to handle something — not just internet speed,
friction,noun,resistance or opposition to movement or progress,
granularity,noun,the level of detail or fineness of something,
robustness,noun,the quality of being strong and healthy — resilient to change,
caveat,noun,a warning or proviso of specific conditions,
heft,noun,the weight or importance of something,
hegemony,noun,leadership or dominance, especially by one group over others,
pragmatic,adjective,dealing with things sensibly and realistically,
nuance,noun,a subtle difference in meaning, expression, or tone,
